  0.480000019073E+01  0.150000452181E+04  0.100000000000E+01  0.101325279410E+06  0.171670472155E-01
  0.490000009537E+01  0.150000554026E+04  0.100000000000E+01  0.101325345238E+06  0.171668456967E-01
  0.500000000000E+01  0.150000668373E+04  0.100000000000E+01  0.101325419184E+06  0.171666221196E-01
  0.509999990463E+01  0.150000796595E+04  0.100000000000E+01  0.101325502138E+06  0.171663740768E-01
  0.520000028610E+01  0.150000940216E+04  0.100000000000E+01  0.101325595092E+06  0.171660988985E-01
  0.530000019073E+01  0.150001100931E+04  0.100000000000E+01  0.101325699144E+06  0.171657936234E-01
  0.540000009537E+01  0.150001280618E+04  0.100000000000E+01  0.101325815515E+06  0.171654549672E-01
  0.550000000000E+01  0.150001481366E+04  0.100000000000E+01  0.101325945562E+06  0.171650792875E-01
  0.559999990463E+01  0.150001705495E+04  0.100000000000E+01  0.101326090792E+06  0.171646625442E-01
  0.570000028610E+01  0.150001955582E+04  0.100000000000E+01  0.101326252879E+06  0.171642002569E-01
  0.580000019073E+01  0.150002234491E+04  0.100000000000E+01  0.101326433683E+06  0.171636874564E-01
  0.590000009537E+01  0.150002545405E+04  0.100000000000E+01  0.101326635272E+06  0.171631186313E-01
  0.600000000000E+01  0.150002891862E+04  0.100000000000E+01  0.101326859944E+06  0.171624876697E-01
  0.609999990463E+01  0.150003277795E+04  0.100000000000E+01  0.101327110257E+06  0.171617877927E-01
  0.620000028610E+01  0.150003707579E+04  0.100000000000E+01  0.101327389051E+06  0.171610114828E-01
  0.630000019073E+01  0.150004186081E+04  0.100000000000E+01  0.101327699491E+06  0.171601504027E-01
  0.640000009537E+01  0.150004718714E+04  0.100000000000E+01  0.101328045095E+06  0.171591953065E-01
  0.650000000000E+01  0.150005311506E+04  0.100000000000E+01  0.101328429781E+06  0.171581359407E-01
  0.659999990463E+01  0.150005971164E+04  0.100000000000E+01  0.101328857911E+06  0.171569609345E-01
  0.670000028610E+01  0.150006705161E+04  0.100000000000E+01  0.101329334343E+06  0.171556576783E-01
  0.680000019073E+01  0.150007521821E+04  0.100000000000E+01  0.101329864491E+06  0.171542121896E-01
